,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zone 1 L,Zone 2 L,Zone 2 LA,Zone 2 SD,Zone 2 LV,Zone 3 L,Zone 3 SF,Zone 4 L,Zone 5 L,Zone 6 L,Zone 7 L,Zone 8 L,Zone 9 L,Zone 10 L,Zone 10 BO,Zone 11 L,Zone 11 DC,Zone 12 L,Zone 14 L,Zone 15 L,Zone 16 L,Zone 17 L,Zone 17 NJ,Zone 17 MHT,Zone 17 NYC,Zone 17 PA,Zone 18 L,Zone 19 L,Zone 20 L,Zone 21 L,Zone 22 L,Zone 23 L,Zone 24 L,Zone 25 L,
TH <25,Origins →,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,
,↓Destination,1 L,2 L,2 LA,2 SD,2 LV,3 L,3 SF,4 L,5 L,6 L,7 L,8 L,9 L,10 L,10 BO,11 L,11 DC,12 L,14 L,15 L,16 L,17 L,17 NJ,17 MHT,17 NYC,17 PA,18 L,19 L,20 L,21 L,22 L,23 L,24 L,25 L,
,Zone 5 L,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,114.82,128.34,128.34,155.35,175.61,175.61,175.61,155.35,155.35,175.61,175.61,189.13,135.08,175.61,175.61,175.61,175.61,175.61,175.61,175.61,189.13,155.35,175.61,175.61,175.61,189.13,
,Zone 6 Std,202.63,229.65,229.65,229.65,229.65,209.39,209.39,209.39,141.84,141.84,141.84,168.86,195.87,195.87,195.87,182.37,182.37,195.87,202.63,222.89,155.35,195.87,195.87,195.87,195.87,195.87,195.87,195.87,222.89,175.61,195.87,195.87,209.39,222.89,
,Zone 6 L,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,128.34,114.82,128.34,155.35,175.61,175.61,175.61,155.35,155.35,175.61,175.61,189.13,135.08,175.61,175.61,175.61,175.61,175.61,175.61,175.61,189.13,155.35,175.61,175.61,175.61,189.13,
,Zone 7 Std,202.63,229.65,229.65,229.65,229.65,209.39,209.39,209.39,141.84,141.84,141.84,168.86,195.87,195.87,195.87,182.37,182.37,195.87,202.63,222.89,155.35,195.87,195.87,195.87,195.87,195.87,195.87,195.87,222.89,175.61,195.87,195.87,209.39,222.89,
,Zone 7 L,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,128.34,128.34,114.82,155.35,175.61,175.61,175.61,155.35,155.35,175.61,175.61,189.13,135.08,175.61,175.61,175.61,175.61,175.61,175.61,175.61,189.13,155.35,175.61,175.61,175.61,189.13,
,Zone 8 Std,195.87,175.61,175.61,175.61,175.61,202.63,202.63,209.39,168.86,168.86,168.86,141.84,168.86,175.61,175.61,168.86,168.86,168.86,182.37,222.89,155.35,175.61,175.61,175.61,175.61,175.61,175.61,168.86,222.89,155.35,155.35,155.35,202.63,222.89,
,Zone 8 L,175.61,155.35,155.35,155.35,155.35,175.61,175.61,175.61,155.35,155.35,155.35,114.82,155.35,155.35,155.35,155.35,155.35,155.35,155.35,189.13,135.08,155.35,155.35,155.35,155.35,155.35,155.35,155.35,189.13,135.08,135.08,135.08,175.61,189.13,245.70
,Zone 9 Std,195.87,195.87,195.87,195.87,195.87,202.63,202.63,195.87,195.87,195.87,195.87,168.86,141.84,182.37,182.37,168.86,168.86,168.86,168.86,216.14,155.35,195.87,195.87,195.87,195.87,195.87,182.37,168.86,216.14,168.86,175.61,175.61,202.63,216.14,
,Zone 9 L,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,114.82,155.35,155.35,155.35,155.35,155.35,155.35,182.37,135.08,175.61,175.61,175.61,175.61,175.61,155.35,155.35,182.37,155.35,155.35,155.35,175.61,182.37,
,Zone 10 Std,202.63,229.65,229.65,229.65,229.65,209.39,209.39,209.39,195.87,195.87,195.87,175.61,182.37,141.84,141.84,155.35,155.35,182.37,195.87,222.89,155.35,155.35,155.35,155.35,155.35,155.35,141.84,182.37,222.89,175.61,195.87,195.87,216.14,222.89,
,Zone 10 L,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,114.82,114.82,135.08,135.08,155.35,175.61,189.13,135.08,135.08,135.08,135.08,135.08,135.08,128.34,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 10 BO Std,202.63,229.65,229.65,229.65,229.65,209.39,209.39,209.39,195.87,195.87,195.87,175.61,182.37,141.84,141.84,155.35,155.35,182.37,195.87,222.89,155.35,155.35,144.00,155.35,155.35,155.35,141.84,182.37,222.89,175.61,195.87,195.87,216.14,222.89,
,Zone 10 BO,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,114.82,114.82,135.08,135.08,155.35,175.61,189.13,135.08,135.08,144.00,135.08,135.08,135.08,128.34,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 11 Std,202.63,195.87,195.87,195.87,195.87,209.39,209.39,209.39,182.37,182.37,182.37,168.86,168.86,155.35,155.35,141.84,141.84,168.86,182.37,222.89,155.35,155.35,155.35,155.35,155.35,155.35,155.35,168.86,222.89,168.86,175.61,175.61,209.39,222.89,
,Zone 11 L,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,155.35,155.35,155.35,135.08,135.08,114.82,114.82,155.35,155.35,189.13,135.08,135.08,135.08,135.08,135.08,135.08,135.08,155.35,189.13,155.35,155.35,155.35,175.61,189.13,
,Zone 11 DC Std,202.63,195.87,195.87,195.87,195.87,209.39,209.39,209.39,182.37,182.37,182.37,168.86,168.86,155.35,155.35,141.84,141.84,168.86,182.37,222.89,155.35,155.35,134.00,155.35,155.35,155.35,155.35,168.86,222.89,168.86,175.61,175.61,209.39,222.89,
,Zone 11 DC,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,155.35,155.35,155.35,135.08,135.08,114.82,114.82,155.35,155.35,189.13,135.08,135.08,134.00,135.08,135.08,135.08,135.08,155.35,189.13,155.35,155.35,155.35,175.61,189.13,
,Zone 12 Std,195.87,195.87,195.87,195.87,195.87,202.63,202.63,202.63,195.87,195.87,195.87,168.86,168.86,182.37,182.37,168.86,168.86,141.84,182.37,216.14,155.35,175.61,175.61,175.61,175.61,175.61,182.37,141.84,216.14,168.86,195.87,195.87,195.87,216.14,
,Zone 12 L,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,155.35,155.35,155.35,155.35,114.82,155.35,182.37,135.08,155.35,155.35,155.35,155.35,155.35,155.35,128.34,182.37,155.35,175.61,175.61,175.61,182.37,
,Zone 13 Std,195.87,195.87,195.87,195.87,195.87,202.63,202.63,195.87,195.87,195.87,195.87,168.86,141.84,182.37,182.37,168.86,168.86,168.86,168.86,216.14,155.35,195.87,195.87,195.87,195.87,195.87,182.37,168.86,216.14,168.86,175.61,175.61,202.63,216.14,
,Zone 14 Std,182.37,175.61,175.61,175.61,175.61,182.37,182.37,168.86,202.63,202.63,202.63,182.37,168.86,195.87,195.87,182.37,182.37,182.37,141.84,195.87,175.61,195.87,195.87,195.87,195.87,195.87,195.87,182.37,195.87,182.37,175.61,175.61,182.37,195.87,
,Zone 14 L,155.35,155.35,155.35,155.35,155.35,155.35,155.35,155.35,175.61,175.61,175.61,155.35,155.35,175.61,175.61,155.35,155.35,155.35,114.82,175.61,155.35,175.61,175.61,175.61,175.61,175.61,175.61,155.35,175.61,155.35,155.35,155.35,155.35,175.61,
,Zone 15 Std,182.37,175.61,175.61,175.61,175.61,182.37,182.37,182.37,222.89,222.89,222.89,222.89,216.14,222.89,222.89,222.89,222.89,216.14,195.87,141.84,216.14,229.65,229.65,229.65,229.65,229.65,222.89,216.14,168.86,222.89,229.65,229.65,182.37,168.86,
,Zone 15 L,155.35,155.35,155.35,155.35,155.35,155.35,155.35,155.35,189.13,189.13,189.13,189.13,182.37,189.13,189.13,189.13,189.13,182.37,175.61,114.82,182.37,189.13,189.13,189.13,189.13,189.13,189.13,182.37,155.35,189.13,189.13,189.13,155.35,155.35,
,Zone 16 Std,175.61,175.61,175.61,175.61,175.61,195.87,195.87,175.61,155.35,155.35,155.35,155.35,155.35,155.35,155.35,155.35,155.35,155.35,175.61,216.14,141.84,155.35,155.35,155.35,155.35,155.35,155.35,155.35,216.14,155.35,155.35,155.35,175.61,216.14,
,Zone 16 L,155.35,155.35,155.35,155.35,155.35,175.61,175.61,155.35,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,155.35,182.37,114.82,135.08,135.08,135.08,135.08,135.08,135.08,135.08,182.37,135.08,135.08,135.08,155.35,182.37,
,Zone 17 Std,216.14,216.14,216.14,216.14,216.14,229.65,229.65,216.14,195.87,195.87,195.87,175.61,195.87,155.35,155.35,155.35,155.35,175.61,195.87,229.65,155.35,141.84,141.84,141.84,141.84,141.84,155.35,175.61,229.65,175.61,195.87,195.87,216.14,229.65,
,Zone 17 L,182.37,182.37,182.37,182.37,182.37,189.13,189.13,182.37,175.61,175.61,175.61,155.35,175.61,135.08,135.08,135.08,135.08,155.35,175.61,189.13,135.08,114.82,114.82,114.82,114.82,114.82,135.08,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 17 NJ Std,216.14,216.14,216.14,216.14,216.14,229.65,229.65,216.14,195.87,195.87,195.87,175.61,195.87,155.35,155.35,155.35,155.35,175.61,195.87,229.65,155.35,141.84,152.00,141.84,141.84,141.84,155.35,175.61,229.65,175.61,195.87,195.87,216.14,229.65,
,Zone 17 NJ,182.37,182.37,182.37,182.37,182.37,189.13,189.13,182.37,175.61,175.61,175.61,155.35,175.61,135.08,135.08,135.08,135.08,155.35,175.61,189.13,135.08,114.82,90.00,114.82,114.82,114.82,135.08,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 17 MHT Std,216.14,216.14,216.14,216.14,216.14,229.65,229.65,216.14,195.87,195.87,195.87,175.61,195.87,155.35,155.35,155.35,155.35,175.61,195.87,229.65,155.35,141.84,95.00,141.84,141.84,141.84,155.35,175.61,229.65,175.61,195.87,195.87,216.14,229.65,
,Zone 17 MHT,182.37,182.37,182.37,182.37,182.37,189.13,189.13,182.37,175.61,175.61,175.61,155.35,175.61,135.08,135.08,135.08,135.08,155.35,175.61,189.13,135.08,114.82,95.00,114.82,114.82,114.82,135.08,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 17 NYC Std,216.14,216.14,216.14,216.14,216.14,229.65,229.65,216.14,195.87,195.87,195.87,175.61,195.87,155.35,155.35,155.35,155.35,175.61,195.87,229.65,155.35,141.84,90.00,141.84,141.84,141.84,155.35,175.61,229.65,175.61,195.87,195.87,216.14,229.65,
,Zone 17 NYC,182.37,182.37,182.37,182.37,182.37,189.13,189.13,182.37,175.61,175.61,175.61,155.35,175.61,135.08,135.08,135.08,135.08,155.35,175.61,189.13,135.08,114.82,90.00,114.82,114.82,114.82,135.08,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 17 PA Std,216.14,216.14,216.14,216.14,216.14,229.65,229.65,216.14,195.87,195.87,195.87,175.61,195.87,155.35,155.35,155.35,155.35,175.61,195.87,229.65,155.35,141.84,90.00,141.84,141.84,141.84,155.35,175.61,229.65,175.61,195.87,195.87,216.14,229.65,
,Zone 17 PA,182.37,182.37,182.37,182.37,182.37,189.13,189.13,182.37,175.61,175.61,175.61,155.35,175.61,135.08,135.08,135.08,135.08,155.35,175.61,189.13,135.08,114.82,90.00,114.82,114.82,114.82,135.08,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 18 Std,202.63,229.65,229.65,229.65,229.65,209.39,209.39,209.39,195.87,195.87,195.87,175.61,182.37,141.84,141.84,155.35,155.35,182.37,195.87,222.89,155.35,155.35,155.35,155.35,155.35,155.35,141.84,182.37,222.89,175.61,195.87,195.87,216.14,222.89,
,Zone 18 L,175.61,189.13,189.13,189.13,189.13,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,128.34,128.34,135.08,135.08,155.35,175.61,189.13,135.08,135.08,135.08,135.08,135.08,135.08,114.82,155.35,189.13,155.35,175.61,175.61,182.37,189.13,
,Zone 19 Std,195.87,195.87,195.87,195.87,195.87,202.63,202.63,202.63,195.87,195.87,195.87,168.86,168.86,182.37,182.37,168.86,168.86,141.84,182.37,216.14,155.35,175.61,175.61,175.61,175.61,175.61,182.37,141.84,216.14,168.86,195.87,195.87,195.87,216.14,
,Zone 19 L,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,155.35,155.35,155.35,155.35,128.34,155.35,182.37,135.08,155.35,155.35,155.35,155.35,155.35,155.35,114.82,182.37,155.35,175.61,175.61,175.61,182.37,
,Zone 20 Std,195.87,175.61,175.61,175.61,175.61,182.37,182.37,195.87,222.89,222.89,222.89,222.89,216.14,222.89,222.89,222.89,222.89,216.14,195.87,168.86,216.14,229.65,229.65,229.65,229.65,229.65,222.89,216.14,141.84,222.89,216.14,216.14,182.37,141.84,
,Zone 20 L,175.61,155.35,155.35,155.35,155.35,155.35,155.35,175.61,189.13,189.13,189.13,189.13,182.37,189.13,189.13,189.13,189.13,182.37,175.61,155.35,182.37,189.13,189.13,189.13,189.13,189.13,189.13,182.37,114.82,189.13,182.37,182.37,155.35,128.34,
,Zone 21 Std,195.87,195.87,195.87,195.87,195.87,202.63,202.63,209.39,175.61,175.61,175.61,155.35,168.86,175.61,175.61,168.86,168.86,168.86,182.37,222.89,155.35,175.61,175.61,175.61,175.61,175.61,175.61,168.86,222.89,141.84,175.61,175.61,202.63,222.89,
,Zone 21 L,175.61,175.61,175.61,175.61,175.61,175.61,175.61,175.61,155.35,155.35,155.35,135.08,155.35,155.35,155.35,155.35,155.35,155.35,155.35,189.13,135.08,155.35,155.35,155.35,155.35,155.35,155.35,155.35,189.13,114.82,155.35,155.35,175.61,189.13,
,Zone 22 Std,175.61,155.35,155.35,155.35,155.35,175.61,175.61,155.35,195.87,195.87,195.87,155.35,175.61,195.87,195.87,175.61,175.61,195.87,175.61,229.65,155.35,195.87,195.87,195.87,195.87,195.87,195.87,195.87,216.14,175.61,141.84,141.84,175.61,216.14,
,Zone 22 L,155.35,135.08,135.08,135.08,135.08,155.35,155.35,135.08,175.61,175.61,175.61,135.08,155.35,175.61,175.61,155.35,155.35,175.61,155.35,189.13,135.08,175.61,175.61,175.61,175.61,175.61,175.61,175.61,182.37,155.35,114.82,128.34,155.35,182.37,
,Zone 23 Std,175.61,155.35,155.35,155.35,155.35,175.61,175.61,155.35,195.87,195.87,195.87,155.35,175.61,195.87,195.87,175.61,175.61,195.87,175.61,229.65,155.35,195.87,195.87,195.87,195.87,195.87,195.87,195.87,216.14,175.61,141.84,141.84,175.61,216.14,
,Zone 23 L,155.35,135.08,135.08,135.08,135.08,155.35,155.35,135.08,175.61,175.61,175.61,135.08,155.35,175.61,175.61,155.35,155.35,175.61,155.35,189.13,135.08,175.61,175.61,175.61,175.61,175.61,175.61,175.61,182.37,155.35,128.34,114.82,155.35,182.37,
,Zone 24 Std,168.86,155.35,155.35,155.35,155.35,168.86,168.86,168.86,209.39,209.39,209.39,209.39,202.63,216.14,216.14,209.39,209.39,195.87,182.37,182.37,175.61,216.14,216.14,216.14,216.14,216.14,216.14,195.87,182.37,209.39,175.61,175.61,141.84,182.37,
,Zone 24 L,155.35,135.08,135.08,135.08,135.08,155.35,155.35,155.35,175.61,175.61,175.61,175.61,175.61,182.37,182.37,175.61,175.61,175.61,155.35,155.35,155.35,182.37,182.37,182.37,182.37,182.37,182.37,175.61,155.35,175.61,155.35,155.35,114.82,155.35,
,Zone 25 Std,195.87,175.61,175.61,175.61,175.61,182.37,182.37,195.87,222.89,222.89,222.89,222.89,216.14,222.89,222.89,222.89,222.89,216.14,195.87,168.86,216.14,229.65,229.65,229.65,229.65,229.65,222.89,216.14,141.84,222.89,216.14,216.14,182.37,141.84,
,Zone 25 L,175.61,155.35,155.35,155.35,155.35,155.35,155.35,175.61,189.13,189.13,189.13,189.13,182.37,189.13,189.13,189.13,189.13,182.37,175.61,155.35,182.37,189.13,189.13,189.13,189.13,189.13,189.13,182.37,128.34,189.13,182.37,182.37,155.35,114.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zone 1 L,Zone 2 L,Zone 2 LA,Zone 2 SD,Zone 2 LV,Zone 3 L,Zone 3 SF,Zone 4 L,Zone 5 L,Zone 6 L,Zone 7 L,Zone 8 L,Zone 9 L,Zone 10 L,Zone 10 BO,Zone 11 L,Zone 11 DC,Zone 12 L,Zone 14 L,Zone 15 L,Zone 16 L,Zone 17 L,Zone 17 NJ,Zone 17 MHT,Zone 17 NYC,Zone 17 PA,Zone 18 L,Zone 19 L,Zone 20 L,Zone 21 L,Zone 22 L,Zone 23 L,Zone 24 L,Zone 25 L,
TH 25-35,Origins →,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,
,↓Destination,1 L,2 L,2 LA,2 SD,2 LV,3 L,3 SF,4 L,5 L,6 L,7 L,8 L,9 L,10 L,10 BO,11 L,11 DC,12 L,14 L,15 L,16 L,17 L,17 NJ,17 MHT,17 NYC,17 PA,18 L,19 L,20 L,21 L,22 L,23 L,24 L,25 L,
,Zone 1 Std,162.11,175.61,175.61,175.61,175.61,189.13,189.13,195.87,222.89,222.89,222.89,222.89,216.14,222.89,222.89,222.89,222.89,216.14,202.63,202.63,195.87,236.40,236.40,236.40,236.40,236.40,222.89,216.14,216.14,222.89,195.87,195.87,189.13,216.14,
,Zone 1 L,135.08,155.35,155.35,155.35,155.35,175.61,175.61,175.61,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,175.61,175.61,175.61,202.63,202.63,202.63,202.63,202.63,195.87,195.87,195.87,195.87,175.61,175.61,175.61,195.87,
,Zone 2 Std,175.61,162.11,162.11,162.11,162.11,175.61,175.61,175.61,249.92,249.92,249.92,195.87,216.14,249.92,249.92,216.14,216.14,216.14,195.87,195.87,195.87,236.40,236.40,236.40,236.40,236.40,249.92,216.14,195.87,216.14,175.61,175.61,175.61,195.87,
,Zone 2 L,155.35,135.08,135.08,135.08,135.08,155.35,155.35,155.35,209.39,209.39,209.39,175.61,195.87,209.39,209.39,195.87,195.87,195.87,175.61,175.61,175.61,202.63,202.63,202.63,202.63,202.63,209.39,195.87,175.61,195.87,155.35,155.35,155.35,175.61,
,Zone 2 LA Std,175.61,162.11,90.00,162.11,162.11,175.61,175.61,175.61,249.92,249.92,249.92,195.87,216.14,249.92,249.92,216.14,216.14,216.14,195.87,195.87,195.87,236.40,236.40,236.40,236.40,236.40,249.92,216.14,195.87,216.14,175.61,175.61,175.61,195.87,
,Zone 2 LA,155.35,135.08,90.00,135.08,135.08,155.35,155.35,155.35,209.39,209.39,209.39,175.61,195.87,209.39,209.39,195.87,195.87,195.87,175.61,175.61,175.61,202.63,202.63,202.63,202.63,202.63,209.39,195.87,175.61,195.87,155.35,155.35,155.35,175.61,
,Zone 2 SD Std,175.61,162.11,100.00,162.11,162.11,175.61,175.61,175.61,249.92,249.92,249.92,195.87,216.14,249.92,249.92,216.14,216.14,216.14,195.87,195.87,195.87,236.40,236.40,236.40,236.40,236.40,249.92,216.14,195.87,216.14,175.61,175.61,175.61,195.87,
,Zone 2 SD,155.35,135.08,100.00,135.08,135.08,155.35,155.35,155.35,209.39,209.39,209.39,175.61,195.87,209.39,209.39,195.87,195.87,195.87,175.61,175.61,175.61,202.63,202.63,202.63,202.63,202.63,209.39,195.87,175.61,195.87,155.35,155.35,155.35,175.61,
,Zone 2 LV Std,175.61,162.11,155.00,162.11,162.11,175.61,175.61,175.61,249.92,249.92,249.92,195.87,216.14,249.92,249.92,216.14,216.14,216.14,195.87,195.87,195.87,236.40,236.40,236.40,236.40,236.40,249.92,216.14,195.87,216.14,175.61,175.61,175.61,195.87,
,Zone 2 LV,155.35,135.08,155.00,135.08,135.08,155.35,155.35,155.35,209.39,209.39,209.39,175.61,195.87,209.39,209.39,195.87,195.87,195.87,175.61,175.61,175.61,202.63,202.63,202.63,202.63,202.63,209.39,195.87,175.61,195.87,155.35,155.35,155.35,175.61,
,Zone 3 Std,189.13,175.61,175.61,175.61,175.61,162.11,162.11,202.63,229.65,229.65,229.65,229.65,222.89,229.65,229.65,229.65,229.65,222.89,202.63,202.63,216.14,249.92,249.92,249.92,249.92,249.92,229.65,222.89,202.63,229.65,195.87,195.87,189.13,202.63,
,Zone 3 L,175.61,155.35,155.35,155.35,155.35,135.08,135.08,175.61,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.87,175.61,175.61,195.87,209.39,209.39,209.39,209.39,209.39,195.87,195.87,175.61,195.87,175.61,175.61,175.61,175.61,
,Zone 3 SF Std,189.13,175.61,140.00,175.61,175.61,162.11,162.11,202.63,229.65,229.65,229.65,229.65,222.89,229.65,229.65,229.65,229.65,222.89,202.63,202.63,216.14,249.92,249.92,249.92,249.92,249.92,229.65,222.89,202.63,229.65,195.87,195.87,189.13,202.63,
