ZIPCode,StateName,
55336,Minnesota,
55337,Minnesota,
55338,Minnesota,
55339,Minnesota,
55340,Minnesota,
55341,Minnesota,
55342,Minnesota,
55343,Minnesota,
55344,Minnesota,
55345,Minnesota,
55346,Minnesota,
55347,Minnesota,
55349,Minnesota,
55350,Minnesota,
55352,Minnesota,
55353,Minnesota,
55354,Minnesota,
55355,Minnesota,
55356,Minnesota,
55357,Minnesota,
55358,Minnesota,
55359,Minnesota,
55360,Minnesota,
55361,Minnesota,
55362,Minnesota,
55363,Minnesota,
55364,Minnesota,
55366,Minnesota,
55367,Minnesota,
55368,Minnesota,
55369,Minnesota,
55370,Minnesota,
55371,Minnesota,
55372,Minnesota,
55373,Minnesota,
55374,Minnesota,
55375,Minnesota,
55376,Minnesota,
55377,Minnesota,
55378,Minnesota,
55379,Minnesota,
55380,Minnesota,
55381,Minnesota,
55382,Minnesota,
55384,Minnesota,
55385,Minnesota,
55386,Minnesota,
55387,Minnesota,
55388,Minnesota,
55389,Minnesota,
55390,Minnesota,
55391,Minnesota,
55395,Minnesota,
55396,Minnesota,
55397,Minnesota,
55398,Minnesota,
55401,Minnesota,
55402,Minnesota,
55403,Minnesota,
55404,Minnesota,
55405,Minnesota,
55406,Minnesota,
55407,Minnesota,
55408,Minnesota,
55409,Minnesota,
55410,Minnesota,
55411,Minnesota,
55412,Minnesota,
55413,Minnesota,
55414,Minnesota,
55415,Minnesota,
55416,Minnesota,
55417,Minnesota,
55418,Minnesota,
55419,Minnesota,
55420,Minnesota,
55421,Minnesota,
55422,Minnesota,
55423,Minnesota,
55424,Minnesota,
55425,Minnesota,
55426,Minnesota,
55427,Minnesota,
55428,Minnesota,
55429,Minnesota,
55430,Minnesota,
55431,Minnesota,
55432,Minnesota,
55433,Minnesota,
55434,Minnesota,
55435,Minnesota,
55436,Minnesota,
55437,Minnesota,
55438,Minnesota,
55439,Minnesota,
55440,Minnesota,
55441,Minnesota,
55442,Minnesota,
55443,Minnesota,
55444,Minnesota,
55445,Minnesota,
55446,Minnesota,
55447,Minnesota,
55448,Minnesota,
55449,Minnesota,
55450,Minnesota,
55454,Minnesota,
55455,Minnesota,
55458,Minnesota,
55459,Minnesota,
55460,Minnesota,
55467,Minnesota,
55470,Minnesota,
55472,Minnesota,
55474,Minnesota,
55478,Minnesota,
55479,Minnesota,
55480,Minnesota,
55483,Minnesota,
55484,Minnesota,
55485,Minnesota,
55486,Minnesota,
55487,Minnesota,
55488,Minnesota,
55554,Minnesota,
55569,Minnesota,
55572,Minnesota,
55573,Minnesota,
55575,Minnesota,
55577,Minnesota,
55592,Minnesota,
55593,Minnesota,
55599,Minnesota,
55704,Minnesota,
55707,Minnesota,
55712,Minnesota,
55718,Minnesota,
55726,Minnesota,
55735,Minnesota,
55749,Minnesota,
55756,Minnesota,
55757,Minnesota,
55760,Minnesota,
55767,Minnesota,
55780,Minnesota,
55783,Minnesota,
55787,Minnesota,
55795,Minnesota,
55797,Minnesota,
55901,Minnesota,
55902,Minnesota,
55903,Minnesota,
55904,Minnesota,
55905,Minnesota,
55906,Minnesota,
55909,Minnesota,
55910,Minnesota,
55912,Minnesota,
55917,Minnesota,
55918,Minnesota,
55919,Minnesota,
55920,Minnesota,
55921,Minnesota,
55922,Minnesota,
55923,Minnesota,
55924,Minnesota,
